id byear psire pdam cdam csire sire.changed dam.changed problem sgen dgen rsire rdam
BELF000164470659 2020 DEUM000356761336 BELF000261720072 BELF000261720072 DEUM000356761336 NO NO DAM 0 1 DEUM000356761336 0
BELF000766327556 2023 CANM000107359260 BELF000261964563 BELF000261964563 CANM000107359260 NO NO ??? 1 1 0 0
BELF000866146190 2022 840M003202074756 BELF000263531855 BELF000263531855 840M003202074756 NO NO DAM 0 1 840M003202074756 0
BELF000861898642 2020 DNKM000000259290 BELF000263813235 BELF000263813235 CANM000012189047 YES NO DAM 1 1 CANM000012189047 0
BELF000464769606 2021 ITAM017991512628 BELF000263836353 BELF000263836353 ITAM017991512628 NO NO ??? 1 1 0 0
BELF000366057554 2023 840M003209641351 BELF000264510115 BELF000264510115 840M003209641351 NO NO SIRE 1 0 0 BELF000264510115
BELF000565834055 2008 DEUM000346499400 BELF000265328896 BELF000265328896 DEUM000346499400 NO NO SIRE 1 0 0 BELF000265328896
BELF000964186277 2020 840M003138948156 BELF000363879131 BELF000363879131 840M003138948156 NO NO ??? 1 1 0 0
BELF000166372552 2022 ITAM036990601858 BELF000364279059 BELF000364279059 ITAM036990601858 NO NO ??? 1 1 0 0
BELF000158525759 2016 BELM000228058220 BELF000757521898 BELF000451734871 BELM000228058220 NO YES SIRE 1 1 0 BELF000451734871
BELF000363563017 2019 840M003131003289 BELF000457518431 BELF000457518431 840M003131003289 NO NO DAM 0 1 840M003131003289 0
BELF000161679760 2018 ITAM033990287543 BELF000457817174 BELF000457817174 ITAM033990287543 NO NO SIRE 1 0 0 BELF000457817174
BELF000266141608 2022 CHEM120119773304 BELF000458939564 BELF000458939564 CHEM120119773304 NO NO SIRE 1 0 0 BELF000458939564
BELF000864186269 2020 CANM000012074893 BELF000458957451 BELF000458957451 CANM000012074893 NO NO ??? 1 1 0 0
BELF000164781300 2021 CANM000108490894 BELF000529407901 BELF000529407901 CANM000108490894 NO NO SIRE 1 0 0 BELF000529407901
BELF000851705108 2014 USAM000062768990 BELF000726130444 BELF000550634018 USAM000062768990 NO YES SIRE 1 1 0 BELF000550634018
BELF000064402983 2019 CANM000012264628 BELF000256468200 BELF000556468171 CANM000012264628 NO YES SIRE 1 1 0 BELF000556468171
BELF000861601594 2019 NLDM000354899233 BELF000556531995 BELF000556531995 NLDM000354899233 NO NO SIRE 1 0 0 BELF000556531995
BELM000763753879 2019 840M003125993715 BELF000556646032 BELF000556646032 840M003125993715 NO NO ??? 1 1 0 0
BELF000763583037 2021 DEUM000358442822 BELF000563748506 BELF000563748506 DEUM000358442822 NO NO ??? 1 1 0 0
